received,sent,protocol
12:12:58,12:12:56,MQTT
12:13:09,12:13:07,MQTT
12:13:09,12:13:07,MQTT
12:13:20,12:13:18,MQTT
12:13:20,12:13:18,MQTT
12:13:31,12:13:29,MQTT
12:13:31,12:13:29,MQTT
12:13:41,12:13:39,MQTT
12:13:52,12:13:50,MQTT
12:13:52,12:13:50,MQTT
12:14:03,12:14:01,MQTT
12:14:14,12:14:12,MQTT
12:14:25,12:14:23,MQTT
12:14:36,12:14:34,MQTT
12:14:36,12:14:34,MQTT
12:14:47,12:14:45,MQTT
12:14:58,12:14:56,MQTT
12:15:09,12:15:07,MQTT
12:15:20,12:15:18,MQTT
12:15:20,12:15:18,MQTT
12:15:31,12:15:29,MQTT
12:15:42,12:15:40,MQTT
12:15:53,12:15:51,MQTT
12:16:04,12:16:02,MQTT
12:16:04,12:16:02,MQTT
12:16:15,12:16:12,MQTT
12:16:15,12:16:12,MQTT
12:16:25,12:16:23,MQTT
12:16:36,12:16:34,MQTT
12:16:47,12:16:45,MQTT
12:16:47,12:16:45,MQTT
12:16:58,12:16:56,MQTT
12:17:09,12:17:07,MQTT
12:17:09,12:17:07,MQTT
12:17:19,12:17:18,MQTT
12:17:19,12:17:18,MQTT
12:17:30,12:17:28,MQTT
12:17:41,12:17:39,MQTT
12:17:52,12:17:50,MQTT
12:18:03,12:18:01,MQTT
12:18:14,12:18:12,MQTT
12:18:25,12:18:23,MQTT
12:18:25,12:18:23,MQTT
12:18:36,12:18:33,MQTT
12:18:46,12:18:44,MQTT
12:18:46,12:18:44,MQTT
